"Timestamp","Counter","Value","PSComputerName","RunspaceId","PSShowComputerName"
"9/22/2026 10:33:23 PM","\\desktop-f6ep8gc\memory\pages/sec","5.978988638127891","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:24 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","84.11395137837258","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:24 PM","\\desktop-f6ep8gc\memory\available mbytes","49868","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:24 PM","\\desktop-f6ep8gc\memory\pages/sec","0.9912889492297486","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:25 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","92.23272341446396","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:25 PM","\\desktop-f6ep8gc\memory\available mbytes","49867","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:25 PM","\\desktop-f6ep8gc\memory\pages/sec","0","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:26 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","92.08345296108233","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:26 PM","\\desktop-f6ep8gc\memory\available mbytes","49865","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:26 PM","\\desktop-f6ep8gc\memory\pages/sec","15.446972137620552","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:27 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","92.2901421090875","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:27 PM","\\desktop-f6ep8gc\memory\available mbytes","49864","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:27 PM","\\desktop-f6ep8gc\memory\pages/sec","14.795740365531724","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:28 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","92.30524968615268","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:28 PM","\\desktop-f6ep8gc\memory\available mbytes","49864","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:28 PM","\\desktop-f6ep8gc\memory\pages/sec","0","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:29 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","98.51053899709181","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:29 PM","\\desktop-f6ep8gc\memory\available mbytes","49835","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:29 PM","\\desktop-f6ep8gc\memory\pages/sec","11.445166920606308","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:30 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","100","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:30 PM","\\desktop-f6ep8gc\memory\available mbytes","49822","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:30 PM","\\desktop-f6ep8gc\memory\pages/sec","10.61218598949818","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:31 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","100","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:31 PM","\\desktop-f6ep8gc\memory\available mbytes","49827","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:31 PM","\\desktop-f6ep8gc\memory\pages/sec","25.920822830599935","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:32 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","93.18609846827854","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:32 PM","\\desktop-f6ep8gc\memory\available mbytes","49823","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:32 PM","\\desktop-f6ep8gc\memory\pages/sec","12.600568285629683","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:33 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","92.33539318721674","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:33 PM","\\desktop-f6ep8gc\memory\available mbytes","49826","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:33 PM","\\desktop-f6ep8gc\memory\pages/sec","0.9812015519468708","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:34 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","100","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:34 PM","\\desktop-f6ep8gc\memory\available mbytes","50097","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:34 PM","\\desktop-f6ep8gc\memory\pages/sec","44.1660305122494","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:35 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","98.34419108742914","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:35 PM","\\desktop-f6ep8gc\memory\available mbytes","50570","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:35 PM","\\desktop-f6ep8gc\memory\pages/sec","5.087885160326469","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:37 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","97.35151139071661","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:37 PM","\\desktop-f6ep8gc\memory\available mbytes","50598","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:37 PM","\\desktop-f6ep8gc\memory\pages/sec","8.285223800465298","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
"9/22/2026 10:33:38 PM","\\desktop-f6ep8gc\processor(_total)\% processor time","69.82237109637886","localhost","8603c4d9-c985-4326-8c1d-e8a50e328763","False"
