1,<197.31854, 5.7847104, 0.5046393>,<-9.907168, -6.8932548, -0.11158082>,<0.0032114857, 0.0022486062, -2.6892367E-06>,True,<0.06538552, 0.07074654, 0.06538987, 0.07065624>
2,<197.15343, 5.6698227, 0.50277966>,<-9.9779215, -6.9136596, -0.11195584>,<0.0056842393, 0.0039799763, -3.8017197E-06>,True,<0.06483376, 0.07010335, 0.06483811, 0.07000196>
3,<196.98712, 5.554595, 0.50091374>,<-10.0430155, -6.9419026, -0.112367906>,<0.007527612, 0.005270692, 1.8900431E-06>,True,<0.063911736, 0.06901544, 0.06392598, 0.06891292>
4,<196.81973, 5.4388967, 0.49904093>,<-10.10378, -6.9760866, -0.1128109>,<0.008831301, 0.0061835204, 4.3377295E-06>,True,<0.06280494, 0.06765652, 0.06281161, 0.06755257>
5,<196.65134, 5.3226285, 0.49716076>,<-10.161316, -7.0146375, -0.1132794>,<0.009684937, 0.0067812433, 9.975224E-06>,True,<0.06159532, 0.06616336, 0.061611712, 0.066058815>
6,<196.48198, 5.205718, 0.4952728>,<-10.216532, -7.05626, -0.11376807>,<0.01017577, 0.0071249385, 1.9073017E-05>,True,<0.060370207, 0.06462979, 0.060393035, 0.064539075>
7,<196.3117, 5.088114, 0.49337664>,<-10.270159, -7.099911, -0.11427607>,<0.01036054, 0.007254254, 1.0541175E-05>,True,<0.059216857, 0.06313908, 0.059224248, 0.06303394>
8,<196.14053, 4.969782, 0.49147204>,<-10.322744, -7.1448092, -0.114800535>,<0.01030325, 0.0072141257, 1.19351935E-05>,True,<0.058129966, 0.06172079, 0.05815178, 0.061623514>
9,<195.96849, 4.850702, 0.4895587>,<-10.374676, -7.190406, -0.11533911>,<0.010061135, 0.007044708, 2.9505067E-05>,True,<0.05714953, 0.060415447, 0.057175875, 0.06033367>
10,<195.79558, 4.7308617, 0.4876364>,<-10.426335, -7.2361517, -0.115890056>,<0.0096676005, 0.006769247, 4.410454E-05>,True,<0.056298196, 0.05922234, 0.056330383, 0.059149086>
11,<195.62181, 4.610259, 0.4857049>,<-10.477969, -7.281695, -0.116452>,<0.009167437, 0.0064191087, 5.624981E-05>,True,<0.055572093, 0.058180988, 0.055609822, 0.0581156>
12,<195.44717, 4.4888973, 0.48376402>,<-10.529723, -7.326828, -0.11702341>,<0.008596894, 0.00601973, 7.982316E-05>,True,<0.05494529, 0.05726117, 0.05500269, 0.05722648>
13,<195.27168, 4.3667836, 0.48181364>,<-10.58171, -7.37139, -0.11760303>,<0.0079768095, 0.0055856183, 9.271459E-05>,True,<0.054454386, 0.056484878, 0.054510534, 0.056452096>
14,<195.09532, 4.243927, 0.4798536>,<-10.633987, -7.4152994, -0.118190005>,<0.007334663, 0.005136044, 0.00010233278>,True,<0.05405593, 0.055834472, 0.054116607, 0.055808365>
15,<194.91809, 4.1203384, 0.47788376>,<-10.686576, -7.458529, -0.11878275>,<0.0066855787, 0.0046816384, 0.00012013256>,True,<0.05374074, 0.055282712, 0.053820133, 0.055277646>
16,<194.73997, 3.9960296, 0.47590405>,<-10.739469, -7.5010867, -0.11938045>,<0.006041421, 0.004230631, 0.00012484705>,True,<0.05351734, 0.05483216, 0.05358547, 0.054827213>
17,<194.56099, 3.8710115, 0.47391438>,<-10.792658, -7.5429854, -0.11998201>,<0.0054224706, 0.0037972792, 0.00013164249>,True,<0.05334133, 0.05448246, 0.053421438, 0.054483235>
18,<194.38112, 3.745295, 0.47191468>,<-10.846121, -7.5842566, -0.1205855>,<0.0048301606, 0.0033825638, 0.00013483473>,True,<0.053235948, 0.054192424, 0.05331999, 0.054198623>
19,<194.20035, 3.6188908, 0.46990493>,<-10.899805, -7.624977, -0.12119196>,<0.004269252, 0.002989862, 0.00014473952>,True,<0.053160608, 0.053961635, 0.053258896, 0.053982496>
20,<194.01869, 3.4918077, 0.46788508>,<-10.953682, -7.665188, -0.12180114>,<0.003745701, 0.0026232898, 0.00014815146>,True,<0.0531314, 0.053799868, 0.053228796, 0.053820133>
21,<193.83614, 3.3640547, 0.46585506>,<-11.007646, -7.7050457, -0.12241121>,<0.003258683, 0.0022823475, 0.0001635506>,True,<0.0531196, 0.053663492, 0.053223193, 0.053690314>
22,<193.65268, 3.2356372, 0.46381488>,<-11.061732, -7.7444954, -0.12302284>,<0.002817864, 0.0019736986, 0.00016553531>,True,<0.053126097, 0.053582013, 0.053222, 0.053600788>
23,<193.46832, 3.1065624, 0.4617645>,<-11.115934, -7.783543, -0.1236356>,<0.0024169348, 0.001692898, 0.00014676747>,True,<0.05315733, 0.05352503, 0.053237855, 0.053529024>
24,<193.28305, 2.9768367, 0.45970392>,<-11.170169, -7.822312, -0.12424878>,<0.002051029, 0.0014366049, 0.00012445518>,True,<0.053199887, 0.05347705, 0.053264916, 0.053474486>
25,<193.09688, 2.8464649, 0.4576331>,<-11.224409, -7.86084, -0.12486174>,<0.0017266909, 0.001209421, 0.00010342944>,True,<0.053233802, 0.053454995, 0.053291917, 0.053445995>
26,<192.9098, 2.7154508, 0.45555207>,<-11.278637, -7.8991537, -0.12547456>,<0.0014394375, 0.0010081851, 7.7663106E-05>,True,<0.053280115, 0.053450108, 0.05332327, 0.053426802>
27,<192.72183, 2.5837982, 0.45346084>,<-11.332832, -7.937282, -0.12608661>,<0.0011867197, 0.0008311609, 5.8738722E-05>,True,<0.053319633, 0.053451657, 0.053365648, 0.053422987>
28,<192.53296, 2.4515102, 0.4513594>,<-11.386981, -7.975248, -0.12669814>,<0.0009683569, 0.000678157, 3.1133135E-05>,True,<0.053368747, 0.05347222, 0.053394556, 0.053423822>
29,<192.34317, 2.3185894, 0.44924775>,<-11.441051, -8.013096, -0.12730895>,<0.000777625, 0.00054452015, 8.925701E-06>,True,<0.053402603, 0.053474963, 0.053423285, 0.053421795>
30,<192.15248, 2.1850379, 0.44712594>,<-11.495036, -8.050834, -0.12791888>,<0.000630869, 0.00044167993, -1.2187034E-05>,True,<0.053423107, 0.05349964, 0.053430498, 0.053442>
31,<191.96089, 2.0508573, 0.44499397>,<-11.548929, -8.088474, -0.12852788>,<0.0005154359, 0.0003607747, -3.2442145E-05>,True,<0.053442955, 0.05352336, 0.053445578, 0.05345297>
32,<191.76842, 1.9552678, 0.44285184>,<-11.533445, -0.1526577, -0.12835264>,<0.00041344404, 0.00028936876, -3.0020026E-05>,True,<0.021337688, 0.021421969, 0.02133578, 0.021347582>
33,<191.57619, 1.9530611, 0.44071263>,<-11.510402, -0.16350001, -0.12809183>,<0.0018205327, 0.00028625087, -0.26774877>,True,<0, 0, 0, 0>
34,<191.38435, 1.9503361, 0.43857777>,<-11.510402, -0.32700002, -0.12809183>,<0.0019588897, 0.00028405967, -0.29378614>,False,<0, 0, 0, 0>
35,<191.19252, 1.9448861, 0.4364429>,<-11.510402, -0.49050003, -0.12809183>,<0.0020946322, 0.00028188722, -0.31940758>,False,<0, 0, 0, 0>
36,<191.00069, 1.9367111, 0.43430805>,<-11.510402, -0.65400004, -0.12809183>,<0.00222769, 0.00027973356, -0.34459838>,False,<0, 0, 0, 0>
37,<190.80885, 1.925811, 0.4321732>,<-11.510402, -0.81750005, -0.12809183>,<0.0023579923, 0.00027759865, -0.36934403>,False,<0, 0, 0, 0>
38,<190.61702, 1.912186, 0.43003833>,<-11.510402, -0.98100007, -0.12809183>,<0.0024854634, 0.00027548213, -0.39363024>,False,<0, 0, 0, 0>
39,<190.42519, 1.895836, 0.42790347>,<-11.510402, -1.1445, -0.12809183>,<0.002610038, 0.0002733841, -0.41744298>,False,<0, 0, 0, 0>
40,<190.23335, 1.8879809, 0.4257686>,<-11.487404, -0.16350001, -0.12783523>,<0.003634, 0.0002704384, -0.61751467>,True,<0, 0, 0, 0>
41,<190.0419, 1.8852559, 0.42363802>,<-11.487404, -0.32700002, -0.12783523>,<0.0037443573, 0.0002685451, -0.63874894>,False,<0, 0, 0, 0>
42,<189.85045, 1.8798059, 0.42150742>,<-11.487404, -0.49050003, -0.12783523>,<0.0038510568, 0.00026666987, -0.65935844>,False,<0, 0, 0, 0>
43,<189.659, 1.8716309, 0.41937682>,<-11.487404, -0.65400004, -0.12783523>,<0.003954036, 0.00026481238, -0.67933077>,False,<0, 0, 0, 0>
44,<189.46754, 1.8607309, 0.41724622>,<-11.487404, -0.81750005, -0.12783523>,<0.004053239, 0.00026297264, -0.6986539>,False,<0, 0, 0, 0>
45,<189.2761, 1.8471059, 0.41511562>,<-11.487404, -0.98100007, -0.12783523>,<0.0041486095, 0.00026115048, -0.71731603>,False,<0, 0, 0, 0>
46,<189.08464, 1.8307558, 0.41298503>,<-11.487404, -1.1445, -0.12783523>,<0.0042400975, 0.00025934612, -0.7353059>,False,<0, 0, 0, 0>
47,<188.89319, 1.8116808, 0.41085443>,<-11.487404, -1.3080001, -0.12783523>,<0.00432765, 0.0002575592, -0.75261265>,False,<0, 0, 0, 0>
48,<188.70174, 1.7898808, 0.40872383>,<-11.487404, -1.4715002, -0.12783523>,<0.004411218, 0.00025578952, -0.7692256>,False,<0, 0, 0, 0>
49,<188.51028, 1.7653557, 0.40659323>,<-11.487404, -1.6350002, -0.12783523>,<0.0044907546, 0.00025403686, -0.78513473>,False,<0, 0, 0, 0>
50,<188.31883, 1.7381057, 0.40446264>,<-11.487404, -1.7985003, -0.12783523>,<0.004566217, 0.00025230116, -0.80033034>,False,<0, 0, 0, 0>
51,<188.12738, 1.7081306, 0.40233204>,<-11.487404, -1.9620004, -0.12783523>,<0.004637567, 0.00025058255, -0.8148033>,False,<0, 0, 0, 0>
52,<187.93593, 1.6754305, 0.40020144>,<-11.487404, -2.1255004, -0.12783523>,<0.004704763, 0.00024888045, -0.828545>,False,<0, 0, 0, 0>
53,<187.74448, 1.6400056, 0.39807084>,<-11.487404, -2.2890005, -0.12783523>,<0.004767771, 0.00024719464, -0.84154725>,False,<0, 0, 0, 0>
54,<187.55302, 1.6018556, 0.39594024>,<-11.487404, -2.4525006, -0.12783523>,<0.0048265606, 0.00024552524, -0.8538025>,False,<0, 0, 0, 0>
55,<187.36157, 1.5609807, 0.39380965>,<-11.487404, -2.6160007, -0.12783523>,<0.004881102, 0.00024387175, -0.8653038>,False,<0, 0, 0, 0>
56,<187.17012, 1.5173807, 0.39167905>,<-11.487404, -2.7795007, -0.12783523>,<0.004931374, 0.00024223441, -0.87604487>,False,<0, 0, 0, 0>
57,<186.97867, 1.4772204, 0.38954845>,<-11.464452, -0.16350001, -0.12759346>,<0.0051351986, 0.00023962437, -0.9290234>,True,<0, 0, 0, 0>
58,<186.7876, 1.4744954, 0.3874219>,<-11.464452, -0.32700002, -0.12759346>,<0.0051753786, 0.00023818038, -0.9378368>,False,<0, 0, 0, 0>
59,<186.59653, 1.4690454, 0.38529536>,<-11.464452, -0.49050003, -0.12759346>,<0.0052111256, 0.00023675115, -0.9458444>,False,<0, 0, 0, 0>
60,<186.40546, 1.4608704, 0.38316882>,<-11.464452, -0.65400004, -0.12759346>,<0.005242432, 0.0002353368, -0.95304257>,False,<0, 0, 0, 0>
61,<186.21439, 1.4499704, 0.38104227>,<-11.464452, -0.81750005, -0.12759346>,<0.0052692923, 0.00023393713, -0.9594287>,False,<0, 0, 0, 0>
62,<186.02332, 1.4363453, 0.37891573>,<-11.464452, -0.98100007, -0.12759346>,<0.005291704, 0.00023255155, -0.96500087>,False,<0, 0, 0, 0>
63,<185.83224, 1.4199953, 0.37678918>,<-11.464452, -1.1445, -0.12759346>,<0.005309672, 0.00023118002, -0.96975785>,False,<0, 0, 0, 0>
